
Analyzing odd numbers 1 to 65535 (k=16):

Decimal  Binary             Win After  Max Bits   Head Grow  Extra Zeros  End Dec  End Bin           
741      0000001011100101   1          10         0          3            139      0000000010001011  
743      0000001011100111   3          11         1          1            1255     0000010011100111  
745      0000001011101001   1          10         0          1            559      0000001000101111  
747      0000001011101011   2          11         1          1            841      0000001101001001  
749      0000001011101101   1          10         0          2            281      0000000100011001  
751      0000001011101111   4          12         2          1            1903     0000011101101111  
753      0000001011110001   1          10         0          1            565      0000001000110101  
755      0000001011110011   2          11         1          2            425      0000000110101001  
757      0000001011110101   1          10         0          4            71       0000000001000111  
759      0000001011110111   3          11         1          2            641      0000001010000001  
761      0000001011111001   1          10         0          1            571      0000001000111011  
763      0000001011111011   2          11         1          1            859      0000001101011011  
765      0000001011111101   1          10         0          2            287      0000000100011111  
767      0000001011111111   8          14         4          1            9841     0010011001110001  
769      0000001100000001   1          10         0          1            577      0000001001000001  
771      0000001100000011   2          11         1          3            217      0000000011011001  
773      0000001100000101   1          10         0          3            145      0000000010010001  
775      0000001100000111   3          11         1          1            1309     0000010100011101  
777      0000001100001001   1          10         0          1            583      0000001001000111  
779      0000001100001011   2          11         1          1            877      0000001101101101  
781      0000001100001101   1          10         0          2            293      0000000100100101  
783      0000001100001111   4          12         2          7            31       0000000000011111  
785      0000001100010001   1          10         0          1            589      0000001001001101  
787      0000001100010011   2          11         1          2            443      0000000110111011  
789      0000001100010101   1          10         0          5            37       0000000000100101  
791      0000001100010111   3          11         1          4            167      0000000010100111  
793      0000001100011001   1          10         0          1            595      0000001001010011  
795      0000001100011011   2          11         1          1            895      0000001101111111  
797      0000001100011101   1          10         0          2            299      0000000100101011  
799      0000001100011111   5          12         2          1            3037     0000101111011101  
801      0000001100100001   1          10         0          1            601      0000001001011001  
803      0000001100100011   2          11         1          4            113      0000000001110001  
805      0000001100100101   1          10         0          3            151      0000000010010111  
807      0000001100100111   3          11         1          1            1363     0000010101010011  
809      0000001100101001   1          10         0          1            607      0000001001011111  
811      0000001100101011   2          11         1          1            913      0000001110010001  
813      0000001100101101   1          10         0          2            305      0000000100110001  
815      0000001100101111   4          12         2          1            2065     0000100000010001  
817      0000001100110001   1          10         0          1            613      0000001001100101  
819      0000001100110011   2          11         1          2            461      0000000111001101  
821      0000001100110101   1          10         0          4            77       0000000001001101  
823      0000001100110111   3          11         1          2            695      0000001010110111  
825      0000001100111001   1          10         0          1            619      0000001001101011  
827      0000001100111011   2          11         1          1            931      0000001110100011  
829      0000001100111101   1          10         0          2            311      0000000100110111  
831      0000001100111111   6          13         3          2            2369     0000100101000001  
833      0000001101000001   1          10         0          1            625      0000001001110001  
835      0000001101000011   2          11         1          3            235      0000000011101011  
837      0000001101000101   1          10         0          3            157      0000000010011101  
839      0000001101000111   3          11         1          1            1417     0000010110001001  
841      0000001101001001   1          10         0          1            631      0000001001110111  
843      0000001101001011   2          11         1          1            949      0000001110110101  
845      0000001101001101   1          10         0          2            317      0000000100111101  
847      0000001101001111   4          12         2          2            1073     0000010000110001  
849      0000001101010001   1          10         0          1            637      0000001001111101  
851      0000001101010011   2          11         1          2            479      0000000111011111  
853      0000001101010101   1          10         0          8            5        0000000000000101  
855      0000001101010111   3          11         1          3            361      0000000101101001  
857      0000001101011001   1          10         0          1            643      0000001010000011  
859      0000001101011011   2          11         1          1            967      0000001111000111  
861      0000001101011101   1          10         0          2            323      0000000101000011  
863      0000001101011111   5          13         3          5            205      0000000011001101  
865      0000001101100001   1          10         0          1            649      0000001010001001  
867      0000001101100011   2          11         1          5            61       0000000000111101  
869      0000001101100101   1          10         0          3            163      0000000010100011  
871      0000001101100111   3          11         1          1            1471     0000010110111111  
873      0000001101101001   1          10         0          1            655      0000001010001111  
875      0000001101101011   2          11         1          1            985      0000001111011001  
877      0000001101101101   1          10         0          2            329      0000000101001001  
879      0000001101101111   4          12         2          1            2227     0000100010110011  
881      0000001101110001   1          10         0          1            661      0000001010010101  
